rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
339,True,6,0,0,86496251.50116305,362.0,-1
340,True,5,1,0,46101003.6904074,252.1,5
341,True,5,1,0,51536653.72440924,324.0,1
342,True,1,5,0,53780010.13445221,103.7,0
343,True,1,5,0,357026653.5237101,1493.7,0
344,True,5,1,0,53999162.76820698,364.2,0
345,True,2,4,0,58282170.88840624,487.65,0
346,True,5,1,0,39377346.601527065,90.9,4
347,True,0,6,0,434451257.4228225,1021.2836,0
348,True,0,6,0,160120482.82309112,510.7,0
349,True,0,6,0,103010034.20470122,246.0,0
350,True,4,2,0,84218841.22483525,529.44,3
351,True,0,6,0,219728905.36732134,997.43,0
352,True,1,5,0,216696550.70177627,982.0,0
353,True,0,6,0,141991459.19374356,380.8,0
354,True,1,5,0,154879591.6094065,1738.3,0
355,True,1,5,0,110131938.55559288,591.8,0
356,True,0,6,0,275313555.19255084,1490.0,0
357,True,0,6,0,188971782.69285843,413.6,0
358,True,4,2,0,65906499.367691584,437.0,0
359,True,0,6,0,58969651.822744146,166.0,0
360,True,3,3,0,66420158.64142615,248.22,2
361,True,6,0,0,58861698.57088693,314.9,-1
362,True,0,6,0,72356377.22558337,239.1,0
363,True,2,4,0,14218238.102538066,174.6,5
364,True,0,6,0,515250211.2720595,1060.3,0
365,True,0,6,0,140417856.1575876,398.0,0
366,True,0,6,0,150429323.8409257,428.4,0
367,True,6,0,0,27335793.729880318,274.75,-1
368,True,5,1,0,72590424.28931062,485.5,2
369,True,0,6,0,648713814.9386832,1217.0,0
370,True,0,6,0,115597282.07590254,299.1,0
371,True,0,6,0,131853675.50865377,414.0,0
372,True,2,4,0,105994840.15484294,970.6999999999999,0
373,True,0,6,0,253275434.3208981,1130.0,0
374,True,4,2,0,23596185.417502854,277.05,5
375,True,1,5,0,172060133.3213919,527.6,0
376,True,0,6,0,55110792.2435305,365.0,0
377,True,0,6,0,512492971.1988545,1029.0800000000002,0
378,True,0,6,0,20578445.75165643,284.5,1
379,True,0,6,0,116492985.38131568,646.9,0
380,True,0,6,0,206690272.5275091,1424.7,0
381,True,0,6,0,282530024.52523464,1058.0,0
382,True,0,6,0,65568547.06512223,756.5,0
383,True,0,6,0,64275081.40492491,258.05,0
384,True,0,6,0,154721008.13315967,739.495,0
385,True,0,6,0,54086152.006541215,375.0,0
386,True,0,6,0,305353751.8975871,1176.2,0
387,True,0,6,0,95327700.30909401,709.2,0
388,True,2,4,0,98874868.27781509,297.85,0
389,True,0,6,0,840457192.7394859,1998.0,0
390,True,6,0,0,40870687.13090274,241.5,-1
391,True,0,6,0,205706742.43201533,1366.3999999999999,0
392,True,0,6,0,107392385.05186787,1308.0,0
393,True,0,6,0,217184869.49413726,450.20000000000005,0
394,True,0,6,0,127315041.18217556,566.0,0
395,True,2,4,0,313260212.0475962,1008.0,0
396,True,1,5,0,41071881.14456615,516.06,0
397,True,4,2,0,94657222.35949224,643.8,0
398,True,0,6,0,20882482.857958984,66.6,0
399,True,0,6,0,25958305.81879217,298.0,1
400,True,0,6,0,299759409.6879005,933.625,0
401,True,0,6,0,45491593.457512155,248.2,0
402,True,0,6,0,335495528.2060628,712.0,0
403,True,0,6,0,231831667.48270896,578.0,0
404,True,0,6,0,182968883.10735187,585.9,0
405,True,0,6,0,33355893.002565756,258.0,0
406,True,0,6,0,166424047.45089325,756.0840000000001,0
407,True,0,6,0,794049347.201584,1650.0,0
408,True,0,6,0,137861603.81610098,304.0,0
409,True,4,2,0,79439677.9821431,556.0,0
410,True,0,6,0,256614306.89422855,847.5,0
411,True,0,6,0,83765827.49175982,296.1,0
412,True,6,0,0,39232629.599513546,229.0,-1
413,True,0,6,0,255316790.65005472,2750.7,0
414,True,0,6,0,38880239.63016053,243.0,1
415,True,6,0,0,17977885.05015785,104.1,-1
416,True,6,0,0,28186278.726701785,289.50800000000004,-1
417,True,0,6,0,22426835.546578765,110.8,0
418,True,2,4,0,558805770.1978412,2050.0,0
419,True,6,0,0,13991758.213464841,125.75,-1
420,True,4,2,0,43448882.3860813,265.6,1
421,True,0,6,0,221742811.50901505,714.976,0
422,True,0,6,0,147294226.64509177,1270.6,0
423,True,0,6,0,225024668.89210603,528.4,0
424,True,6,0,0,23393955.823502313,132.9,-1
425,True,2,4,0,76022734.74778204,970.1,0
426,True,3,3,0,70475909.90689127,240.1,0
427,True,0,6,0,122620977.78155755,371.45,0
428,True,0,6,0,143444038.22257814,328.0,0
429,True,0,6,0,88595497.15210785,282.6,0
430,True,3,3,0,133893848.95370664,342.0,0
431,True,5,1,0,26550696.162490238,218.1,2
432,True,6,0,0,17540509.335192654,112.3,-1
433,True,0,6,0,261894537.89615804,829.0,0
434,True,0,6,0,118269093.85553922,338.65,0
435,True,5,1,0,80125235.65103309,365.0,0
436,True,0,6,0,80346243.33550474,177.3,0
