rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
281,False,0,6,0,43552137.72202599,326.9,0
282,False,3,3,0,406268475.5457528,741.6,0
283,False,3,3,0,159952915.38999596,670.6,0
284,False,1,5,0,186646314.2548574,340.6,0
285,False,3,3,0,331644511.9022879,784.28,0
286,False,5,1,0,87721493.19539157,299.51,0
287,False,4,2,0,222193168.13734964,567.9599999999999,0
288,False,0,6,0,263640868.50192785,623.0,0
289,False,0,6,0,14787051.397725327,181.875,0
290,False,0,6,0,127409988.7414546,378.905,0
291,False,6,0,0,103608385.69795796,686.0,-1
292,False,2,4,0,196202553.43028396,1000.6,0
293,False,2,4,0,528936483.15123546,1905.2,0
294,False,2,4,0,115649947.0666238,769.0,0
295,False,0,6,0,177727642.27706513,407.1,0
296,False,1,5,0,147448641.87731442,404.5,0
297,False,2,4,0,224615824.51973757,612.5,0
298,False,5,1,0,14409423.70454414,141.0,12
299,False,0,6,0,117108527.8475924,1428.6,0
300,False,4,2,0,180698322.94340265,324.28999999999996,0
301,False,0,6,0,161692766.5130143,371.2,0
302,False,4,2,0,41170745.19178979,243.8,2
303,False,3,3,0,31413382.7773165,357.2,0
304,False,4,2,0,61774125.67208975,613.56,0
305,False,6,0,0,39171252.42866895,93.41,-1
306,False,1,5,0,721085833.6506865,2077.1,0
307,False,3,3,0,36402847.77475868,299.11,0
308,False,5,1,0,58414051.91077698,357.2,1
309,False,5,1,0,138733165.12027884,369.1,0
310,False,0,6,0,252000098.93590185,731.75,0
311,False,2,4,0,246136710.88510218,1562.2,0
312,False,5,1,0,84906039.711825,419.8,1
313,False,4,2,0,96211285.93881248,1023.4,0
314,False,5,1,0,99925669.81146343,853.0,0
315,False,5,1,0,142885288.686228,270.20000000000005,0
316,False,4,2,0,168808049.66490003,448.4,0
317,False,3,3,0,265750555.58231804,750.965,0
318,False,5,1,0,30262585.035253845,159.536,2
319,False,4,2,0,135735439.52552113,417.5,1
320,False,2,4,0,138594603.74996755,515.69,0
321,False,3,3,0,227446607.66149312,468.71500000000003,0
322,False,5,1,0,79617118.72888859,960.0,0
323,False,6,0,0,11379713.657404942,133.0,-1
324,False,2,4,0,147195702.42623022,656.22,0
325,False,5,1,0,69131124.38941325,360.70000000000005,17
326,False,0,6,0,190439536.02246395,451.0,0
