project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
639,131,12.0,62,119,119.0,completed,87273989.62367953,906705.3454470815,81487370.19058278,75.5587787872568
640,143,16.6,62,140,62.0,withdrawn,16611857.739018964,3110987.4291846864,16692865.464948108,187.4088812761859
641,53,15.0,62,119,119.0,completed,40430446.664560616,1307095.963680902,34036543.45391469,87.13973091206014
642,93,201.0,62,97,62.0,withdrawn,12896035.372031864,68849042.45929857,18464577.6923296,342.5325495487491
643,8,1000.0,62,93,62.0,withdrawn,32969598.687010955,96734872.97805984,30351083.070348777,96.73487297805984
644,268,100.0,62,86,62.0,withdrawn,31103126.6710954,56138137.66171214,34664605.326879784,561.3813766171214
645,52,54.0,62,95,95.0,completed,51824481.15799744,6349017.045456488,54362367.59663428,117.57438973067569
646,257,20.0,63,87,69.0,withdrawn,15696761.42634496,7693549.548366158,16884723.71205689,384.6774774183079
647,146,100.0,63,119,63.0,withdrawn,35825229.04489968,14396293.257846432,28677963.842054218,143.96293257846432
648,137,3.0,63,87,87.0,completed,55592361.31294369,488073.69775539165,45694909.956178315,162.69123258513056
649,173,255.0,63,87,63.0,withdrawn,36681391.2298916,129461612.5842385,39431534.173721395,507.69259836956275
650,174,10.0,63,90,75.0,withdrawn,39935894.22480197,23097426.321787324,42280785.421184495,144.35891451117078
651,330,55.5,63,122,122.0,completed,87394460.23707756,8918439.181854373,85218884.65462847,160.69259787124997
652,380,30.0,63,87,87.0,completed,31227209.195514597,2134713.1304665674,32015845.01807808,71.15710434888558
653,276,150.0,63,88,67.0,withdrawn,45561720.94264615,14172415.674044218,46249458.533663705,94.48277116029479
654,39,30.0,63,87,67.0,withdrawn,24265183.867748972,23238235.653742127,21725587.38610713,236.4357095416258
655,226,134.16,64,88,64.0,withdrawn,28397822.21836536,21791653.326835345,28226796.7460548,162.43033189352525
656,372,2.0,64,88,88.0,completed,27621458.691134676,453908.393969807,35735589.38962432,226.95419698490352
657,394,10.0,64,88,88.0,completed,73695458.46544175,1106065.5091761488,74444205.12329715,110.6065509176149
658,67,309.2,64,112,67.0,withdrawn,67110016.53895064,102038238.21497461,71233620.03090759,89.28904982074158
659,96,20.9,64,88,88.0,completed,36872998.77969849,10425178.391587121,36337040.67054751,498.81236323383365
660,246,4.8,64,97,97.0,completed,29592376.980930295,1660070.861497713,26861374.712011706,345.84809614535686
661,67,14.8,64,91,81.0,withdrawn,70363146.77014534,129382234.06729318,71233620.03090759,89.28904982074158
662,205,96.0,64,88,88.0,completed,44229856.70260197,13402223.160358261,47829995.27692953,139.6064912537319
663,185,19.5,65,89,75.0,withdrawn,15846542.617313374,2589991.66734573,12104413.067589056,132.82008550490923
664,9,18.0,65,141,71.0,withdrawn,18301680.364405513,9358460.304274429,17161150.465741124,519.9144613485794
665,24,42.2,65,126,126.0,completed,43842346.319959946,3720882.2811126253,48988509.26540416,88.17256590314277
666,112,20.0,65,180,102.0,withdrawn,28648556.659672804,16501051.774283303,29926451.408115745,117.86683287356684
667,261,3.0,65,127,127.0,completed,37985080.8869218,427213.03289047244,36006412.550011575,142.40434429682415
668,246,20.0,65,89,89.0,completed,27019623.46388955,6916961.922907137,26861374.712011706,345.84809614535686
669,81,50.0,65,89,74.0,withdrawn,42777050.707274646,20455556.841993015,41261157.50651902,409.1111368398603
670,185,19.6,65,99,68.0,withdrawn,9754748.805510655,2603273.675896221,12104413.067589056,132.82008550490923
671,146,19.9,65,123,123.0,completed,30897036.15029414,12260368.739913953,28677963.842054218,143.96293257846432
672,178,12.6,66,109,109.0,completed,26315375.634384777,972359.9695053304,27064036.12905795,77.1714261512167
673,276,115.0,66,90,90.0,completed,42614281.09391984,23904141.10355458,46249458.533663705,94.48277116029479
674,103,25.0,66,115,115.0,completed,66607804.75273108,4179259.5034559174,65822548.35256741,167.17038013823668
675,186,30.0,66,104,66.0,withdrawn,19344907.423230395,15151339.691786788,18202199.40800808,505.04465639289293
676,313,15.0,66,90,90.0,completed,69165381.11546047,1463549.583876189,67800631.55549785,97.5699722584126
677,207,200.0,66,116,66.0,withdrawn,88235497.89618441,71128073.66196285,90743296.03523871,355.6403683098143
678,150,25.0,67,126,126.0,completed,83203847.50138192,6444203.18247171,82823870.19329381,257.7681272988684
679,112,24.0,67,116,105.0,withdrawn,31556058.998077676,19801262.129139964,29926451.408115745,117.86683287356684
680,316,100.0,67,91,67.0,withdrawn,3984657.051141537,7920363.926311946,3299652.078900075,79.20363926311946
681,388,40.0,67,91,67.0,withdrawn,36621170.076565005,19706272.14835105,30654057.49763459,492.6568037087763
682,161,10.0,67,91,91.0,completed,46724149.93260489,1833793.8449759753,44423694.642384306,183.37938449759753
683,22,75.0,67,107,107.0,completed,54571225.141049795,26939935.100681577,53217855.851858646,359.19913467575435
684,363,3.0,67,91,91.0,completed,38705770.675427034,927526.2964311865,39051488.976571865,309.1754321437288
685,266,55.0,67,114,114.0,completed,39464758.238888696,4962128.607050509,37737133.98617719,90.22052012819108
686,259,150.0,67,91,69.0,withdrawn,45652663.8551885,15071393.485164957,46492648.87537469,100.47595656776639
687,378,300.0,67,112,67.0,withdrawn,49512578.55961901,86468771.66325714,48755062.40066102,288.2292388775238
688,259,150.0,67,100,71.0,withdrawn,45125791.378301606,15071393.485164957,46492648.87537469,100.47595656776639
689,236,20.0,67,106,69.0,withdrawn,16386616.475700755,4385039.603380179,18384349.998421725,219.25198016900893
690,375,10.0,68,122,73.0,withdrawn,43836412.774764396,71675765.96611841,43643164.4950395,209.215355952137
691,381,100.0,68,92,68.0,withdrawn,-7948257.428371237,11019162.194142714,-5522837.957703789,110.19162194142714
