k,regime,seed,total_wd,evaporated_U
200,ON_unbounded,128,4577,35110490233.36115
200,ON_unbounded,129,4857,36446349892.26561
200,W12_both,100,4622,35916521011.64233
200,W12_both,101,4694,36502568245.27083
200,W12_both,102,4557,36117774780.72928
200,W12_both,103,4861,38174507394.83292
200,W12_both,104,4695,36905585638.69679
200,W12_both,105,4597,35323659781.70918
200,W12_both,106,4697,38054254092.91078
200,W12_both,107,4732,37586859536.690125
200,W12_both,108,4707,36092667405.69047
200,W12_both,109,4683,35663463300.68812
200,W12_both,110,4690,37990572818.21304
200,W12_both,111,4604,35154439426.123856
200,W12_both,112,4727,37082995155.26314
200,W12_both,113,4668,36808575223.05743
200,W12_both,114,4607,34760343454.7763
200,W12_both,115,4698,36504824907.32977
200,W12_both,116,4680,34942787329.47567
200,W12_both,117,4692,35070264894.82922
200,W12_both,118,4563,36944254421.56813
200,W12_both,119,4681,37379487494.31382
200,W12_both,120,4692,38125759997.562164
200,W12_both,121,4500,33715539270.89144
200,W12_both,122,4728,38584582165.662674
200,W12_both,123,4648,35808714876.25101
200,W12_both,124,4794,38739716774.65669
200,W12_both,125,4620,35097783780.870605
200,W12_both,126,4580,36801252965.75372
200,W12_both,127,4866,37810394663.50042
200,W12_both,128,4569,37797594929.5196
200,W12_both,129,4605,35417833206.51694
