project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
1532,173,150.0,155,223,155.0,withdrawn,34489020.41061315,76153889.75543441,39431534.173721395,507.69259836956275
1533,98,20.0,155,179,179.0,completed,48380768.693862416,9080843.02469898,50356760.958926596,454.042151234949
1534,214,7.0,156,227,,active,55445427.622661605,893948.3995183932,59278475.17057279,127.70691421691332
1535,180,13.3,156,224,156.0,withdrawn,-10140038.877243543,5993487.25032157,-8802464.318174278,450.63813912192256
1536,150,350.0,156,212,156.0,withdrawn,79579650.6736589,90218844.55460395,82823870.19329381,257.7681272988684
1537,261,30.0,156,200,,active,36264229.12245402,4272130.328904725,36006412.550011575,142.40434429682415
1538,118,60.0,156,183,,active,35659712.45393868,11764914.890506363,34443805.12876973,196.08191484177271
1539,152,101.47,156,180,156.0,withdrawn,27808177.109240353,37262557.96686753,25594697.40541339,367.2273378029716
1540,207,50.0,156,215,,active,89087774.56574799,17782018.415490713,90743296.03523871,355.6403683098143
1541,118,3.2,157,203,,active,33013596.955590084,627462.1274936727,34443805.12876973,196.08191484177271
1542,331,135.0,157,183,157.0,withdrawn,9829893.644352872,44162800.2992725,11014306.171453299,327.1318540686852
1543,190,450.0,157,181,157.0,withdrawn,-15342160.26638278,102255472.83756825,-11780452.901524678,227.234384083485
1544,123,60.0,157,263,157.0,withdrawn,-1180657.8888247455,5526024.735822299,-4722439.104468127,92.10041226370498
1545,337,20.0,157,222,,active,54927043.45710666,3041769.7690638043,55998065.12831995,152.08848845319022
1546,365,44.0,157,240,157.0,withdrawn,-10456221.337131457,3460884.9042417505,-4677457.519956044,78.65647509640343
1547,239,185.0,157,181,,active,72150365.48623346,26234914.26948028,70967637.05898078,141.8103474025961
1548,25,90.0,158,182,158.0,withdrawn,49568900.73262638,41533533.59907042,49154693.964370824,461.483706656338
1549,121,1.5,158,184,,active,55965955.23020056,261896.97471822548,59186656.823125266,174.59798314548365
1550,81,17.5,158,197,,active,44881681.889572814,7159444.894697555,41261157.50651902,409.1111368398603
1551,351,18.7,158,216,160.0,withdrawn,19612255.926672366,2995240.116448616,19290722.297013033,160.17326825928427
1552,123,150.0,158,223,158.0,withdrawn,-6215779.155376557,13815061.839555746,-4722439.104468127,92.10041226370498
1553,181,3.0,158,220,,active,35927314.78143215,1005713.2713242626,37354576.455807805,335.2377571080875
1554,155,150.0,158,182,158.0,withdrawn,19863737.0613707,26376172.741647772,28650933.048805475,175.84115161098515
1555,176,15.0,158,188,,active,69186123.29331896,4336363.93012853,65650847.747766994,289.09092867523526
1556,190,6.0,158,205,158.0,withdrawn,-6266089.40995159,1363406.30450091,-11780452.901524678,227.234384083485
1557,143,110.0,158,204,158.0,withdrawn,19812066.218205396,20614976.94038045,16692865.464948108,187.4088812761859
1558,79,20.0,158,182,,active,52908202.27225645,4461512.61046408,54895966.38049435,223.07563052320404
1559,297,40.0,158,201,158.0,withdrawn,15910438.153891388,6843826.786974235,19384914.794620525,171.0956696743559
1560,155,215.0,158,189,158.0,withdrawn,21949197.05408898,37805847.5963618,28650933.048805475,175.84115161098515
1561,313,100.0,158,182,,active,66252658.70536819,9756997.22584126,67800631.55549785,97.5699722584126
1562,172,16.4,158,182,,active,39663980.04243374,3099225.7096343488,48901881.84557877,188.9771774167286
1563,33,26.0,159,230,,active,51672284.07092564,4030686.937359927,49263425.903462134,155.0264206676895
1564,206,1320.0,159,183,159.0,withdrawn,27107779.77282924,141160372.0039872,24528781.401874043,106.93967576059637
1565,13,19.2,159,203,159.0,withdrawn,-22966448.57985307,9019856.997109534,-21244594.448790185,469.78421859945496
1566,107,19.8,159,186,,active,51614174.34194629,8193817.028290812,55114257.53962091,413.8291428429703
1567,339,5.0,159,198,,active,32377269.06863174,546529.3447600427,32376046.099995684,109.30586895200854
1568,319,85.0,159,183,159.0,withdrawn,28340613.557039537,30009436.144279167,30290396.818390414,353.0521899326961
1569,159,65.0,159,183,,active,54032638.328685,8255964.05409344,56550001.26030335,127.01483160143754
1570,158,31.95,159,183,159.0,withdrawn,-9461485.431064762,17742543.522847194,-8330227.580224578,555.3221759889576
1571,76,13.0,159,194,,active,67177544.5857588,1070995.791303562,64840464.29640943,82.38429163873555
