pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
549,PJM||nittany zion 46 kv,PJM||beth 33 lilly 46 kv,2020Q4,1,1,PJM,Solar,1
550,PJM||central chase city 115 kv,PJM||bear peak rostraver 1247 kv,2023Q2,1,1,PJM,Solar,1
551,ISO-NE||ngrid 115 kv s171 line,ISO-NE||clp fry brook substation,2011Q4,1,1,ISO-NE,Other,1
552,PJM||byron wayne 345 kv,PJM||garner dp lancaster 115 kv,2024Q2,7,7,PJM,Solar,1
553,ERCOT||6216 bluff creek 138 kv,ERCOT||345 kv rapido substation (new ett substation) tapping the existing 345 kv line from cenizo7c (#80225) to delsol7c (#80307),2024Q4,2,2,ERCOT,Wind,1
554,SOCO||west montgomery lowndesboro ds 46 kv line,SOCO||belleville (powersouth) greenville 230 kv line,2017Q2,1,1,SOCO,Solar,1
555,PJM||twombly road 138 kv,PJM||baldy wesnberg 69 kv,2019Q3,1,1,PJM,Solar,1
556,PJM||olive university park 345 kv,PJM||nelson dixon 138 kv,2022Q1,3,3,PJM,Battery,1
557,PJM||reynolds meadow lake #1 345 kv,PJM||blaine roanoke 138 kv,2023Q3,1,1,PJM,Battery,1
558,ISO-NE||j162 115 kv line between tewksbury and perry street,ISO-NE||bhe powersville substation,2009Q2,1,1,ISO-NE,Gas,1
559,PJM||doubs 230 kv,PJM||bremo powhatan 230 kv,2017Q4,1,1,PJM,Solar,1
560,"SOCO||claxton vidalia 115 kv line, ohoopee river tap",SOCO||callaway sinai 115 kv line,2018Q1,1,1,SOCO,Solar,1
561,PJM||bedford north central city west 115 kv,PJM||bethelboro 25 kv 3,2024Q2,1,1,PJM,Solar,1
562,PJM||brunot island 138 kv,PJM||elwood 345 kv,2020Q1,2,2,PJM,Gas,1
563,PJM||lewis 138 kv,PJM||corson 138 kv,2008Q4,1,1,PJM,Offshore Wind,1
564,SOCO||jackson shoals sylacauga 115 kv line,SOCO||collins newton 115 kv line,2024Q3,1,1,SOCO,Solar,1
565,CAISO||suncrest substation 230 kv,CAISO||border border tap 69 kv,2022Q4,1,1,CAISO,Battery,1
566,CAISO||otay substation 69 kv,CAISO||bellota tesla #2,2023Q2,2,2,CAISO,Battery,1
567,PJM||stillman valley,PJM||branchville 12 kv,2013Q4,1,1,PJM,Solar,2
568,PJM||wayne byron 345 kv,PJM||bethelboro 25 kv 4,2024Q2,1,1,PJM,Solar,1
569,CAISO||dumbarton newark 115 kv line,CAISO||center s substation 230 kv,2022Q4,1,1,CAISO,Battery,1
570,PJM||cardiff 230 kv,PJM||bethany 138th street 138 kv,2019Q4,1,1,PJM,Offshore Wind,1
571,SOCO||beulah (gulf) silverhill 230 kv line,SOCO||greene county moundville ts 230 kv line,2024Q4,2,2,SOCO,Solar+Battery,3
572,CAISO||sce owned eldorado bus 230 kv,CAISO||corcoran olive 115 kv line,2017Q2,1,1,CAISO,Battery,1
573,PJM||essex 230 kv,PJM||elizabeth river 230 kv,2007Q4,3,3,PJM,Gas,1
574,PJM||colora 230 kv,PJM||blue jacket kirby 138 kv vi,2023Q3,1,1,PJM,Battery,1
575,PJM||peckville jackson 69 kv,PJM||dans mountain,2015Q1,1,1,PJM,Wind,2
576,PJM||bl england 138 kv,PJM||four rivers 230 kv,2016Q1,2,2,PJM,Gas,1
577,CAISO||borrego substation 69 kv,CAISO||devers substation,2008Q4,2,2,CAISO,Solar,2
578,PJM||tansboro 12 kv,PJM||berwick 1247 kv,2019Q3,1,1,PJM,Solar,1
579,PJM||suffolk 115 kv,PJM||central hardin stephensburg 69 kv,2020Q1,2,2,PJM,Solar,1
580,PJM||tanners creek hanna 345 kv,PJM||bethlehem lilly 46 kv,2024Q4,1,1,PJM,Solar,1
581,PJM||cooper,PJM||branchville n newton #2 34 kv,2012Q1,1,1,PJM,Solar,1
582,PJM||highland hanna 345 kv,PJM||branchburg alburtis 500 kv,2018Q3,1,1,PJM,Gas,1
583,PJM||madera 345 kv,PJM||bethelboro connellsville #1 25 kv,2020Q1,1,1,PJM,Solar,1
584,CAISO||cool water kramer #1 230 kv line,CAISO||monolith substation,2008Q3,2,2,CAISO,Wind,1
585,ERCOT||141765 mariah 345 kv,ERCOT||11441 flat top 345 kv,2018Q3,1,1,ERCOT,Wind,1
586,ISO-NE||bhe's line 5 46 kv,ISO-NE||doreen 115 kv substation or f132 115 kv line,2007Q4,2,2,ISO-NE,Other,1
587,PJM||trenton 26 kv,PJM||frenchtown 345 kv,2012Q2,2,2,PJM,Solar,1
588,PJM||schauff road,PJM||burnham 138 kv,2020Q1,1,1,PJM,Battery,1
589,CAISO||tranquility switching station 230 kv,CAISO||bitterwater switching station 230 kv,2018Q2,1,1,CAISO,Solar+Battery,1
590,PJM||atlanta 69 kv i,PJM||bethelboro 25 kv 5,2024Q1,1,1,PJM,Solar,1
591,PJM||lexington park 69 kv,PJM||chinquapin everetts 230 kv,2020Q3,2,2,PJM,Solar,1
592,PJM||jetersville ponton 115 kv,PJM||mississinewa gaston 138 kv,2023Q3,4,4,PJM,Solar,1
593,PJM||rocktown 48 kv,PJM||buckeye ringoes 345 kv,2015Q4,1,1,PJM,Solar,1
594,CAISO||borden substation 70 kv,CAISO||el cajon substation 69 kv,2018Q1,1,1,CAISO,Battery,1
595,CAISO||panoche substation 115 kv,CAISO||calcite 230 kv line,2019Q1,1,1,CAISO,Solar+Battery,1
