pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
115,control,PJM||arnolds corner 345 kv,1,0,7.0,2020.0,Battery,1
116,treated,PJM||goddard plumville 138 kv,1,0,35.0,2023.0,Solar,1
116,control,PJM||apple valley 138 kv,1,0,150.0,2023.0,Solar,1
117,treated,PJM||monterey 69 kv,1,0,35.0,2004.0,Wind,1
117,control,PJM||baileyville wind farm,1,0,80.0,2003.0,Wind,1
118,treated,PJM||keystone 500 kv,2,0,450.0,1999.0,Gas,1
118,control,PJM||bergen,2,0,275.0,1999.0,Gas,1
119,treated,CAISO||mesa 230 kv,1,0,106.2,2018.0,Battery,1
119,control,CAISO||belotta 115 kv,1,0,132.0,2015.0,Battery,1
120,treated,PJM||mcdowell 138 kv,1,0,100.0,2022.0,Solar,1
120,control,PJM||altoona raystown 230 kv,1,0,80.0,2019.0,Solar,1
121,treated,PJM||heritage wake 500 kv,2,0,125.0,2020.0,Solar,1
121,control,PJM||ad1 100 345 kv (cir increase),2,0,42.0,2023.0,Solar,1
122,treated,PJM||dresden pontiac midpoint 345 kv,2,0,175.0,2021.5,Solar,2
122,control,PJM||apple grove 138 kv,2,0,64.3,2021.5,Solar,2
123,treated,PJM||laurel mountain 138 kv,2,0,34.6,2023.0,Battery,2
123,control,PJM||boxwood riverville 138 kv,2,0,40.0,2021.5,Battery,1
124,treated,PJM||surry hopewell 230 kv,2,0,84.5,2020.5,Solar+Battery,1
124,control,PJM||cashie 230 kv,2,0,55.0,2021.0,Solar+Battery,1
125,treated,PJM||hamilton 115 kv,1,0,20.0,2020.0,Solar,1
125,control,PJM||anaconda dunbar 115 kv,1,0,40.0,2019.0,Solar,1
126,treated,PJM||reynolds olive #1 345 kv,3,0,226.66666666666666,2019.6666666666667,Solar,2
126,control,PJM||cherry ridge 66 kv,3,0,48.333333333333336,2021.0,Solar,2
127,treated,CAISO||vincent substation,1,0,33.1,2006.0,Solar,1
127,control,CAISO||blm west kramer 230 kv line,1,0,450.0,2007.0,Solar,1
128,treated,PJM||berry hill 138 kv,2,0,90.0,2020.0,Battery,2
128,control,PJM||chinquapin 230 kv,2,0,165.0,2020.0,Battery,2
129,treated,PJM||boykins 345 kv,3,0,11.0,2014.6666666666667,Solar,1
129,control,PJM||s cumberland 69 kv,3,0,16.633333333333333,2010.0,Solar,1
130,treated,SOCO||sylvania waynesboro primary 115 kv line,1,0,40.0,2018.0,Solar,1
130,control,SOCO||claxton statesboro primary 115 kv line,1,0,58.8,2017.0,Solar,1
131,treated,SOCO||anniston (apc) hammond 230 kv line,2,0,225.0,2019.0,Solar,2
131,control,SOCO||bonaire primary butler 230 kv line,2,0,165.0,2021.0,Solar,2
132,treated,ISO-NE||cmp section 3023 345 kv line (via johnson mountain substation),1,0,89.6999969482421,2018.0,Wind,1
132,control,ISO-NE||115 kv line 229,1,0,33.0,2008.0,Wind,1
133,treated,ISO-NE||pittsfield 345 kv,1,0,250.0,2013.0,Wind,1
133,control,ISO-NE||115 kv rumford substation,1,0,50.599998474121,2007.0,Wind,1
134,treated,PSCo||boone 115 kv substation,2,0,125.0,2017.0,Solar,2
134,control,PSCo||green valley substation 230 kv,2,0,100.0,2016.0,Solar,1
135,treated,ERCOT||46220 peters 138 kv,1,0,205.31,2021.0,Battery,1
135,control,ERCOT||10002 ns crane switch 138 kv,1,0,121.56,2020.0,Battery,1
136,treated,PJM||kewanee 138 kv,1,0,105.0,2006.0,Wind,1
136,control,PJM||adams allen 138 kv,1,0,130.0,2006.0,Wind,1
137,treated,PJM||millville old chapel 138 kv,1,0,99.0,2019.0,Solar,1
137,control,PJM||arrington circuit 1247 kv,1,0,10.0,2022.0,Solar,1
